AE 460 Airfoil Pressure Distribution Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Point #, AOA, q_WT corrected, q_corr_fac, AmbTemp, AmbPress, Reynolds #, ,x/c,1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1
#, [deg], [psid], [ND], [Rankine], [psia], [ND], ,y/c,0,0.05248,0.073468,0.090605,0.102701,0.109032,0.108445,0.10036,0.075339,0.052949,0,-0.03115,-0.03513,-0.03548,-0.03146,-0.02707,-0.02268,-0.01828,-0.01389,-0.0095,0
1,-6,0.0637449,0.91162,530.37,14.2286155,155944.125, ,p[psid],-0.008531,-0.0157404,-0.0175094,-0.0220218,-0.0258988,-0.0274978,-0.0253402,-0.0226922,0.0018845,0.0323577,-0.0491913,-0.1133603,-0.0588185,-0.0335789,-0.0225801,-0.0158021,-0.0116421,-0.007833,-0.0043372,-0.0013215,-0.008531
2,-4,0.0639517,0.91162,530.37,14.2286155,156196.8125, ,p[psid],-0.0106085,-0.0205147,-0.0216793,-0.0251329,-0.0302535,-0.0337426,-0.0335783,-0.0338294,-0.0116787,0.0178376,-0.0045743,-0.0736748,-0.0489529,-0.0262728,-0.017363,-0.0119458,-0.0086484,-0.0057881,-0.0029797,-0.0007023,-0.0106085
3,-2.1,0.063253,0.91162,530.37,14.2286155,155341.25, ,p[psid],-0.0082269,-0.0170332,-0.0261831,-0.0284136,-0.0336311,-0.0386843,-0.0405,-0.0436548,-0.0247465,0.0016876,0.0296682,-0.0453086,-0.0326418,-0.0215511,-0.0131207,-0.0063168,-0.0045378,-0.0028147,-0.0009085,0.0005794,-0.0082269
4,0,0.0635825,0.91162,530.37,14.2286155,155745.2813, ,p[psid],-0.0037927,-0.0102382,-0.034041,-0.0358215,-0.0403621,-0.0465598,-0.0510533,-0.0580162,-0.0436325,-0.0226626,0.0565494,-0.0236381,-0.0175429,-0.0102178,-0.0056353,-0.0029109,-0.0013207,0.0000361,0.0013793,0.0026528,-0.0037927
5,2,0.0638634,0.91162,530.37,14.2286155,156089, ,p[psid],-0.0039894,-0.0121719,-0.0252108,-0.0436321,-0.0469165,-0.0536346,-0.0607552,-0.0714349,-0.0621435,-0.0477843,0.0630566,-0.0056447,-0.004953,-0.0021239,0.0003793,0.0016446,0.0023563,0.0028999,0.0036335,0.0041931,-0.0039894
6,4,0.0630948,0.91162,530.37,14.2286155,155146.7969, ,p[psid],-0.0039874,-0.014043,-0.0241484,-0.0394822,-0.0558761,-0.0609873,-0.0698727,-0.0842356,-0.0819323,-0.077828,0.0622135,0.0123621,0.0081261,0.0066678,0.0069636,0.0068149,0.0066185,0.0063724,0.0063155,0.0060682,-0.0039874
7,6,0.0625421,0.91162,530.37,14.2286155,154465.7656, ,p[psid],-0.0042794,-0.0153677,-0.0277229,-0.0394453,-0.0507519,-0.0736657,-0.0802172,-0.0958599,-0.1008907,-0.1061001,0.0514728,0.0251617,0.0177305,0.0131387,0.0117219,0.0104006,0.0094557,0.0084397,0.0077142,0.0068089,-0.0042794
8,8,0.0641985,0.91162,530.37,14.2286155,156497.8906, ,p[psid],-0.0039487,-0.0159194,-0.0297404,-0.0438886,-0.0544168,-0.0741566,-0.0981394,-0.1107772,-0.125344,-0.1423156,0.0258349,0.0378922,0.0277935,0.0202556,0.017186,0.0147237,0.0129731,0.0112028,0.0097135,0.0080219,-0.0039487
9,10,0.0634106,0.91162,530.37,14.2286155,155534.5625, ,p[psid],-0.0030546,-0.0147756,-0.0286602,-0.0441439,-0.0576506,-0.0697041,-0.1124795,-0.1217863,-0.1429704,-0.1722135,-0.0130003,0.0464418,0.0353453,0.0258957,0.0213779,0.0181656,0.0157478,0.0133256,0.0112659,0.0086663,-0.0030546
10,12,0.0634523,0.91162,530.37,14.2286155,155585.7656, ,p[psid],-0.003272,-0.014412,-0.0268875,-0.0426994,-0.0583831,-0.0763289,-0.0972627,-0.1361063,-0.1593404,-0.1972717,-0.0523328,0.0519788,0.040568,0.0297982,0.0243253,0.02023,0.0172524,0.0141413,0.0113055,0.0078679,-0.003272
11,14,0.0631888,0.91162,530.37,14.2286155,155262.4219, ,p[psid],-0.0082892,-0.0216217,-0.028956,-0.0401805,-0.054256,-0.0722534,-0.0919537,-0.1326844,-0.1661479,-0.2080645,-0.0798349,0.0544301,0.0430294,0.0314631,0.02517,0.0204835,0.0168992,0.0131669,0.009465,0.0050432,-0.0082892
12,16,0.0633772,0.91162,530.37,14.2286155,155493.6406, ,p[psid],-0.0135647,-0.0298125,-0.0332155,-0.0380055,-0.0484148,-0.0662783,-0.0880244,-0.1263048,-0.1791269,-0.2203226,-0.1137223,0.0574625,0.0463257,0.0340092,0.0271031,0.0215552,0.0173805,0.0128294,0.008268,0.0026831,-0.0135647
13,18,0.0641137,0.91162,530.37,14.2286155,156394.5156, ,p[psid],-0.0300991,-0.0531081,-0.0538823,-0.0515459,-0.0497157,-0.0483188,-0.0466062,-0.0461407,-0.0475702,-0.0510864,-0.0088656,0.0514633,0.0404333,0.0291132,0.0223789,0.0166872,0.0119602,0.0064724,0.0005642,-0.0070901,-0.0300991
14,22,0.0630916,0.91162,530.37,14.2286155,155142.875, ,p[psid],-0.0386261,-0.0649305,-0.0636565,-0.0605865,-0.0584113,-0.0561996,-0.054954,-0.0539806,-0.0544003,-0.055361,-0.0235298,0.0539121,0.0428998,0.0305011,0.0227165,0.0158791,0.0102664,0.0038239,-0.003225,-0.0123218,-0.0386261
15,26,0.0632941,0.91162,530.37,14.2286155,155391.625, ,p[psid],-0.0383191,-0.062709,-0.0633161,-0.0633255,-0.063246,-0.0626176,-0.0622303,-0.062209,-0.0630549,-0.0661857,-0.0369861,0.0569937,0.0465691,0.0336046,0.0250878,0.0174981,0.0112158,0.0039261,-0.0038489,-0.0139291,-0.0383191
16,16,0.0633779,0.91162,530.37,14.2286155,155494.5469, ,p[psid],-0.0286647,-0.0477598,-0.0480314,-0.0472284,-0.0460201,-0.0448196,-0.0443321,-0.0450874,-0.0443141,-0.0446869,0.022707,0.0429773,0.0322455,0.022242,0.0166712,0.0116452,0.0074793,0.0025964,-0.0026556,-0.0095696,-0.0286647
17,14,0.0633337,0.91162,530.37,14.2286155,155440.2813, ,p[psid],-0.0267696,-0.0445909,-0.0447423,-0.0443583,-0.0434738,-0.0418773,-0.0416665,-0.0429568,-0.0422269,-0.0457447,0.0355153,0.038296,0.0281197,0.0192127,0.0143417,0.0100009,0.0063084,0.0019417,-0.0027604,-0.0089482,-0.0267696
18,12,0.0634711,0.91162,530.37,14.2286155,155608.7813, ,p[psid],-0.0036179,-0.0149853,-0.0269788,-0.0422621,-0.0576824,-0.075397,-0.0958408,-0.1353809,-0.159411,-0.1981992,-0.0558611,0.0525268,0.0410939,0.0302173,0.0246587,0.0204425,0.0174053,0.0141916,0.011289,0.0077494,-0.0036179
19,9,0.0634922,0.91162,530.37,14.2286155,155634.7188, ,p[psid],-0.0030924,-0.0149154,-0.0286761,-0.0436872,-0.0562598,-0.0653531,-0.1076405,-0.1169236,-0.1368156,-0.1620743,-0.0007868,0.0442246,0.0333621,0.0244005,0.0203195,0.0173376,0.0151227,0.0129067,0.010986,0.0087306,-0.0030924
20,6,0.0639732,0.91162,530.37,14.2286155,156223.0938, ,p[psid],-0.0036967,-0.0149929,-0.0279062,-0.0406162,-0.0484763,-0.0791892,-0.0848313,-0.1000283,-0.107896,-0.1166927,0.0473509,0.0294935,0.0211121,0.0155706,0.0135718,0.0120487,0.010883,0.0096599,0.0087412,0.0075995,-0.0036967
21,3,0.0635619,0.91162,530.37,14.2286155,155720.0469, ,p[psid],-0.0041663,-0.0138216,-0.0235045,-0.0429079,-0.0533091,-0.0587972,-0.0674599,-0.0810291,-0.0771117,-0.0700506,0.0629032,0.0081968,0.0049423,0.0044222,0.0051493,0.005434,0.005422,0.0053309,0.0054876,0.005489,-0.0041663
22,0,0.0638413,0.91162,530.37,14.2286155,156061.9375, ,p[psid],-0.00349,-0.0103361,-0.0330655,-0.0369679,-0.0410086,-0.0476919,-0.0528655,-0.0608738,-0.0478271,-0.0284834,0.0598317,-0.0187408,-0.0141171,-0.0079665,-0.0038861,-0.0015743,-0.0002182,0.0009609,0.0021941,0.003356,-0.00349
23,-3,0.0633736,0.91162,530.37,14.2286155,155489.2813, ,p[psid],-0.010451,-0.0208546,-0.0238665,-0.0265154,-0.0318677,-0.0361931,-0.0371278,-0.0390159,-0.0186966,0.008996,0.0158365,-0.0536427,-0.0428604,-0.0214757,-0.0132381,-0.0091329,-0.0065366,-0.0042305,-0.0018328,-0.0000474,-0.010451
24,-6,0.0633186,0.91162,530.37,14.2286155,155421.7188, ,p[psid],-0.008539,-0.0154797,-0.0172003,-0.0216303,-0.0254707,-0.0271018,-0.0249,-0.0223678,0.0020618,0.0323387,-0.0498535,-0.1135685,-0.0589259,-0.0336343,-0.0227834,-0.0160751,-0.0118113,-0.0080532,-0.0045406,-0.0015983,-0.008539
